                                                                                                                                                                                                                                                                                                                                                       2 Mar 2020 12:02:49
FOR UNFUNDED EDUCATIONAL USE ONLY
Satellite-SunSat2


Entrance Pass Number      Entrance Time (UTCG)      Entrance Altitude (km)    Entrance Latitude (deg)    Entrance Longitude (deg)    Entrance Flux intensity (m^-2*sec^-1*Sterad^-1)    Exit Pass Number        Exit Time (UTCG)        Exit Altitude (km)    Exit Latitude (deg)    Exit Longitude (deg)    Exit Flux intensity (m^-2*sec^-1*Sterad^-1)    Duration (sec)
                  48    22 Feb 2020 23:58:12.411               1697.205228                    -41.102                     -74.237                                        7891820.068                  49    23 Feb 2020 00:16:54.616           1689.145323                 13.426                 -93.622                                    7892266.235          1122.205
                  49    23 Feb 2020 02:00:34.435               1695.016490                    -35.040                    -107.120                                        7891938.477                  50    23 Feb 2020 02:18:39.313           1689.980880                 17.777                -125.139                                    7892014.771          1084.878
                  50    23 Feb 2020 03:07:07.761               1689.685364                     16.358                      50.835                                        7891893.311                  50    23 Feb 2020 03:19:42.608           1690.602397                -20.482                  38.898                                    7892173.462           754.847
                  50    23 Feb 2020 04:04:32.653               1691.593543                    -24.275                    -141.437                                        7892112.427                  51    23 Feb 2020 04:21:11.978           1691.642060                 24.449                -157.547                                    7892106.934           999.325
                  51    23 Feb 2020 05:04:27.179               1691.773317                     24.915                      23.764                                        7892132.568                  51    23 Feb 2020 05:20:33.008           1691.030310                -22.183                   8.236                                    7892180.786           965.828
                  51    23 Feb 2020 06:09:19.948               1688.778808                    -11.039                    -176.014                                        7891822.510                  52    23 Feb 2020 06:22:11.513           1692.260011                 26.588                 171.598                                    7891821.289           771.565
                  52    23 Feb 2020 07:03:43.316               1692.622040                     27.787                      -5.226                                        7892191.772                  52    23 Feb 2020 07:23:47.927           1693.603654                -30.878                 -25.098                                    7891821.899          1204.611
                  53    23 Feb 2020 09:05:26.680               1691.386521                     23.523                     -36.870                                        7891915.894                  53    23 Feb 2020 09:27:23.359           1696.976867                -40.483                 -59.409                                    7891821.289          1316.679
                  54    23 Feb 2020 11:08:53.535               1689.279666                     14.207                     -70.138                                        7892117.310                  54    23 Feb 2020 11:27:18.406           1696.619956                -39.510                 -89.000                                    7891820.068          1104.871
                  55    23 Feb 2020 13:09:12.408               1689.250027                     14.038                    -100.258                                        7891876.831                  55    23 Feb 2020 13:25:10.954           1694.194662                -32.653                -116.014                                    7891820.068           958.546
                  55    23 Feb 2020 14:09:59.796               1688.933802                    -12.103                      64.075                                        7892042.236                  56    23 Feb 2020 14:17:43.260           1688.710233                 10.536                  56.870                                    7891820.679           463.464
                  56    23 Feb 2020 15:07:54.034               1690.163606                     18.607                    -128.788                                        7891824.341                  56    23 Feb 2020 15:22:25.203           1691.486739                -23.889                -142.697                                    7891888.428           871.169
                  56    23 Feb 2020 16:07:20.125               1690.638890                    -20.632                      36.880                                        7891829.834                  57    23 Feb 2020 16:23:00.267           1691.859470                 25.217                  21.786                                    7891823.730           940.142
                  57    23 Feb 2020 17:06:12.456               1691.598472                     24.293                    -156.848                                        7891820.679                  57    23 Feb 2020 17:19:13.016           1689.206624                -13.788                -169.287                                    7892117.310           780.559
                  57    23 Feb 2020 18:07:00.394               1691.071121                    -22.340                       7.417                                        7892211.914                  58    23 Feb 2020 18:24:10.064           1692.641979                 27.852                  -9.266                                    7891834.106          1029.670
                  58    23 Feb 2020 19:05:32.038               1692.382981                     26.999                     174.090                                        7891820.679                  58    23 Feb 2020 19:14:45.997           1688.000000                  0.005                 165.060                                    7891854.248           553.959
                  58    23 Feb 2020 20:04:58.189               1693.002708                    -29.010                     -20.171                                        7891894.531                  59    23 Feb 2020 20:22:50.340           1691.309807                 23.240                 -37.623                                    7891910.400          1072.151
                  59    23 Feb 2020 22:02:06.916               1696.069344                    -37.997                     -46.437                                        7891909.180                  60    23 Feb 2020 22:20:14.192           1689.403203                 14.892                 -64.813                                    7892007.446          1087.276
                  60    24 Feb 2020 00:01:17.289               1697.206072                    -41.104                     -75.006                                        7891820.068                  61    24 Feb 2020 00:20:02.829           1689.172327                 13.586                 -94.445                                    7892036.743          1125.540
                  61    24 Feb 2020 02:03:45.919               1694.906350                    -34.725                    -108.027                                        7892062.988                  62    24 Feb 2020 02:21:49.571           1690.037259                 18.037                -125.998                                    7892120.972          1083.652
                  62    24 Feb 2020 03:10:04.285               1689.768357                     16.767                      50.202                                        7891820.068                  62    24 Feb 2020 03:22:49.068           1690.620588                -20.557                  38.102                                    7892193.604           764.783
                  62    24 Feb 2020 04:07:42.682               1691.524852                    -24.028                    -142.298                                        7891826.782                  63    24 Feb 2020 04:24:17.579           1691.651230                 24.482                -158.329                                    7891821.289           994.897
                  63    24 Feb 2020 05:07:31.319               1691.784149                     24.953                      23.008                                        7892151.489                  63    24 Feb 2020 05:23:41.177           1691.071338                -22.341                   7.410                                    7891822.510           969.857
                  63    24 Feb 2020 06:12:32.873               1688.725312                    -10.649                    -176.911                                        7891826.782                  64    24 Feb 2020 06:25:13.728           1692.221002                 26.457                 170.876                                    7891823.120           760.855
                  64    24 Feb 2020 07:06:48.569               1692.617198                     27.771                      -6.002                                        7892205.200                  64    24 Feb 2020 07:26:58.815           1693.698210                -31.166                 -25.984                                    7892176.514          1210.246
                  65    24 Feb 2020 09:08:38.534               1691.295575                     23.187                     -37.762                                        7891820.068                  65    24 Feb 2020 09:30:31.334           1697.030432                -40.628                 -60.251                                    7891967.773          1312.799
                  66    24 Feb 2020 11:12:01.658               1689.252285                     14.051                     -70.960                                        7891897.583                  66    24 Feb 2020 11:30:20.375           1696.568277                -39.369                 -89.703                                    7892268.677          1098.716
                  67    24 Feb 2020 13:12:16.605               1689.256239                     14.074                    -101.017                                        7891900.024                  67    24 Feb 2020 13:28:11.035           1694.115872                -32.420                -116.688                                    7892196.655           954.430
                  67    24 Feb 2020 14:12:55.278               1689.005106                    -12.563                      63.455                                        7891821.289                  68    24 Feb 2020 14:21:26.274           1688.978741                 12.395                  55.496                                    7891839.600           510.996
                  68    24 Feb 2020 15:10:57.288               1690.181909                     18.689                    -129.531                                        7891828.003                  68    24 Feb 2020 15:25:24.182           1691.407701                -23.601                -143.363                                    7892160.034           866.894
                  68    24 Feb 2020 16:10:24.491               1690.645558                    -20.659                      36.119                                        7891824.341                  69    24 Feb 2020 16:26:11.053           1691.941180                 25.501                  20.911                                    7892037.354           946.561
                  69    24 Feb 2020 17:09:14.152               1691.642247                     24.450                    -157.562                                        7892019.043                  69    24 Feb 2020 17:22:12.314           1689.159933                -13.513                -169.967                                    7892064.209           778.162
                  69    24 Feb 2020 18:10:04.141               1691.086102                    -22.397                       6.667                                        7891820.068                  70    24 Feb 2020 18:27:15.979           1692.656677                 27.899                 -10.055                                    7891834.106          1031.838
                  70    24 Feb 2020 19:08:39.342               1692.348399                     26.884                     173.276                                        7891820.679                  70    24 Feb 2020 19:17:38.656           1688.002365                  0.605                 164.478                                    7891903.076           539.314
